id;type;age;countryISO;allTimeLevelsPlayed;currentMaxLevel;currentTotalPoints;gender;latestLevelPlayed
86ee4193-5dfe-400d-b980-97f00a017451;sortingGameUserMetrics;23;PT;;;;female;
16bca13a-e070-4c5b-89f1-f7f8e1627580;sortingGameUserMetrics;12;PT;3;3;380;male;
bc76317a-2d62-4fc9-8d10-8230adc94b87;sortingGameUserMetrics;;;9;5;761;;
26c6454c-08e8-48b3-84ed-1e53fb67c376;sortingGameUserMetrics;unspecified;ES;1;1;93;unspecified;
79b87cd7-1fd9-47d5-96dc-f19987056f58;sortingGameUserMetrics;27;IT;3;2;219;male;
7fb3a168-3966-473e-92a0-05fc9f5430e7;sortingGameUserMetrics;unspecified;ES;3;3;401;male;
3472ddc7-697c-46d4-8eaa-94c8d5244bf2;sortingGameUserMetrics;18;ES;3;3;348;female;
9dfb2d53-be1b-4507-b0b7-76de025c57e1;sortingGameUserMetrics;unspecified;ES;;;;unspecified;
8ec95dfd-9329-4654-8bd9-7dcdbf14e32a;sortingGameUserMetrics;34;ES;1;1;95;male;
aeec07af-d65f-40a1-b047-3e5e6ee70541;sortingGameUserMetrics;10;ES;17;8;1532;male;
43f77d42-c332-4c87-8e9e-d82f5753cc1f;sortingGameUserMetrics;39;ES;6;5;1102;female;
32be4d64-43ab-4741-adbc-a15ec87593fc;sortingGameUserMetrics;30;IT;7;5;585;male;
24e2533a-4480-4f60-b8a4-270931151865;sortingGameUserMetrics;44;ES;;;;female;
