Id;Vehiculo;Fecha;Tag;Tipo Residuo;Tipo Contenedor;Frecuencia RSU;Municipio;Poligono;Ruta;Peso;refSortingType
43250;7501JXG;29/06/2018 13:18:00;F0C2B4;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;SIN ASIGNAR;18;30,00;SortingType:7
43249;7501JXG;29/06/2018 13:14:00;F0929A;Papel-Cartón;Cl pc 3200;3;ZAMUDIO;SIN ASIGNAR;18;46,00;SortingType:7
41749;2618JYP;29/06/2018 10:36:59;ZAMIP;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;TORRELARRAGOITI;25;302,00;
41700;2618JYP;29/06/2018 07:36:59;B57738;Papel-Cartón;Ct pc 1100;1;ZAMUDIO;TORRELARRAGOITI;24;10,00;SortingType:6
41687;2618JYP;29/06/2018 07:02:59;F0A3D4;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;PARQUE TECNOLOGICO;24;31,00;SortingType:6
41686;2618JYP;29/06/2018 07:00:59;F0C6DD;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;PARQUE TECNOLOGICO;24;5,00;SortingType:6
41685;2618JYP;29/06/2018 06:54:59;F0BA93;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;SIN ASIGNAR;24;6,00;SortingType:6
41684;2618JYP;29/06/2018 06:51:59;EFE012;Papel-Cartón;Ct pc 1100;6;ZAMUDIO;SIN ASIGNAR;24;11,00;SortingType:6
41683;2618JYP;29/06/2018 06:51:59;F0896E;Papel-Cartón;Ct pc 1100;6;ZAMUDIO;SIN ASIGNAR;24;19,00;SortingType:6
41682;2618JYP;29/06/2018 06:51:00;F09D7D;Papel-Cartón;Ct pc 1100;6;ZAMUDIO;SIN ASIGNAR;24;11,00;SortingType:6
41681;2618JYP;29/06/2018 06:51:00;F09134;Papel-Cartón;Ct pc 1100;6;ZAMUDIO;SIN ASIGNAR;24;16,00;SortingType:6
41680;2618JYP;29/06/2018 06:45:00;F0C2C0;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;24;23,00;SortingType:6
41679;2618JYP;29/06/2018 06:42:59;F08EAE;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;24;8,00;SortingType:6
41678;2618JYP;29/06/2018 06:40:59;F0BA64;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;24;10,00;SortingType:6
41677;2618JYP;29/06/2018 06:38:59;F09401;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;24;15,00;SortingType:6
41676;2618JYP;29/06/2018 06:36:59;F0C5CA;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;24;174,00;SortingType:6
41675;2618JYP;29/06/2018 06:36:00;F0B726;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;24;8,00;SortingType:6
41671;2618JYP;29/06/2018 06:31:00;F0CD1F;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;24;4,00;SortingType:6
41670;2618JYP;29/06/2018 06:29:00;F0897C;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;24;19,00;SortingType:6
41669;2618JYP;29/06/2018 06:27:59;F08E0A;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;24;16,00;SortingType:6
41668;2618JYP;29/06/2018 06:27:00;F09F84;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;24;13,00;SortingType:6
41667;2618JYP;29/06/2018 06:26:00;F099AF;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;24;22,00;
41661;2618JYP;29/06/2018 06:11:59;F0978A;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;PARQUE TECNOLOGICO;24;27,00;SortingType:6
41660;2618JYP;29/06/2018 06:08:59;F0B38D;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;24;20,00;SortingType:6
41659;2618JYP;29/06/2018 06:08:59;F08A9C;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;24;12,00;SortingType:6
41658;2618JYP;29/06/2018 06:06:59;F0C9DD;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;24;34,00;SortingType:6
41657;2618JYP;29/06/2018 06:04:59;F08DD9;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;24;24,00;SortingType:6
41656;2618JYP;29/06/2018 06:00:59;F09BDD;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;SIN ASIGNAR;24;10,00;SortingType:6
41655;2618JYP;29/06/2018 06:00:00;F08B3F;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;SIN ASIGNAR;24;37,00;
41654;2618JYP;29/06/2018 05:53:59;8BB8EA;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;TORRELARRAGOITI;24;13,00;SortingType:6
40097;2618JYP;29/06/2018 05:53:00;8BA51B;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;TORRELARRAGOITI;24;12,00;SortingType:6
43142;7501JXG;28/06/2018 12:04:00;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;4;26,00;
43136;7501JXG;28/06/2018 11:37:00;F0A0EE;Papel-Cartón;Cl pc 3200;2;ZAMUDIO;AREA URBANA;4;44,00;SortingType:7
43135;7501JXG;28/06/2018 11:33:59;F094E9;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;4;66,00;SortingType:7
43134;7501JXG;28/06/2018 11:32:00;F0A402;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;4;64,00;SortingType:7
43133;7501JXG;28/06/2018 11:30:00;F0AA46;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;4;46,00;SortingType:7
41650;2618JYP;28/06/2018 11:28:00;B54C91;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;23;17,00;
