;Vehiculo;Fecha;Tag;Frecuencia RSU;Ruta;Peso;refSortingType
83;1541CLM;23/07/2018 07:07:59;F0C108;5;13;9;SortingType:10
84;2618JYP;20/07/2018 07:56:00;ZAMUO;4;24;18;SortingType:10
85;1541CLM;20/07/2018 07:16:59;F07C37;5;17;15;SortingType:10
86;1541CLM;20/07/2018 06:44:00;F0C108;5;17;21;SortingType:10
87;1541CLM;19/07/2018 07:12:00;F07C37;5;16;19;SortingType:10
88;1541CLM;19/07/2018 06:49:00;F0C108;5;16;55.9;SortingType:10
89;1541CLM;18/07/2018 07:11:00;F07C37;5;15;67;SortingType:10
90;1541CLM;18/07/2018 06:47:59;F0C108;5;15;49;SortingType:10
91;1541CLM;17/07/2018 07:05:59;F07C37;5;14;56;SortingType:10
92;1541CLM;17/07/2018 06:45:00;F0C108;5;14;32;SortingType:10
93;1541CLM;16/07/2018 07:45:59;F07C37;5;13;20;SortingType:10
94;1541CLM;16/07/2018 07:09:59;F0C108;5;13;6;SortingType:10
95;2618JYP;13/07/2018 07:57:59;ZAMUO;4;24;17;SortingType:10
96;1541CLM;13/07/2018 07:32:59;F07C37;5;17;15;SortingType:10
97;1541CLM;13/07/2018 06:51:00;F0C108;5;17;52;SortingType:10
98;2618JYP;29/06/2018 07:30:59;ZAMUO;4;24;17;SortingType:10
99;1541CLM;25/06/2018 06:51:59;F0C108;5;13;16;SortingType:10
100;1541CLM;22/06/2018 07:25:00;F0C108;5;17;69;SortingType:10
101;1541CLM;22/06/2018 07:02:59;F07C37;5;17;59;SortingType:10
102;1541CLM;21/06/2018 07:07:00;F07C37;5;16;25;SortingType:10
103;1541CLM;21/06/2018 06:47:00;F0C108;5;16;24;SortingType:10
104;1541CLM;20/06/2018 07:14:00;F07C37;5;15;6;SortingType:10
105;1541CLM;20/06/2018 06:54:59;F0C108;5;15;63.9;SortingType:10
106;1541CLM;31/05/2018 06:58:59;F07C37;5;16;12;SortingType:10
107;1541CLM;31/05/2018 06:42:00;F0C108;5;16;83;SortingType:10
108;1541CLM;30/05/2018 07:21:00;F0C108;5;15;23;SortingType:10
109;1541CLM;29/05/2018 06:47:00;F0C108;5;14;2;SortingType:10
110;1541CLM;28/05/2018 07:30:59;F0C108;5;13;26;SortingType:10
111;1541CLM;25/05/2018 07:25:59;F0C108;5;17;9;SortingType:10
112;1541CLM;25/05/2018 07:02:59;F07C37;5;17;125;SortingType:10
113;1541CLM;24/05/2018 06:58:59;F07C37;5;16;121;SortingType:10
114;1541CLM;24/05/2018 06:40:59;F0C108;5;16;45;SortingType:10
115;1541CLM;23/05/2018 07:05:59;F07C37;5;15;72;SortingType:10
116;1541CLM;23/05/2018 06:47:00;F0C108;5;15;6;SortingType:10
117;1541CLM;22/05/2018 07:02:59;F07C37;5;14;36;SortingType:10
118;1541CLM;22/05/2018 06:45:00;F0C108;5;14;38;SortingType:10
119;1541CLM;21/05/2018 06:45:59;F0C108;5;13;1;SortingType:10
120;1541CLM;18/05/2018 07:23:00;F0C108;5;17;57;SortingType:10
121;1541CLM;18/05/2018 07:00:59;F07C37;5;17;74;SortingType:10
