;Vehiculo;Fecha;Tag;Frecuencia RSU;Ruta;Peso;refSortingType
259;7501JXG;18/12/2018 11:01:59;F0A544;3;2;36;SortingType:7
260;7501JXG;18/12/2018 10:59:00;F0963B;3;2;24;SortingType:7
261;7501JXG;18/12/2018 10:56:00;F0BD2A;5;2;26;SortingType:7
262;7501JXG;18/12/2018 10:50:59;F0B163;3;2;16;SortingType:7
263;2618JYP;18/12/2018 08:21:59;F0C2C0;5;20;26;SortingType:6
264;2618JYP;18/12/2018 08:19:00;F09401;5;20;11;SortingType:6
265;2618JYP;18/12/2018 08:17:00;F0B726;5;20;14;SortingType:6
266;2618JYP;18/12/2018 08:10:59;F099C0;5;20;4;SortingType:6
267;2618JYP;18/12/2018 08:10:00;8EF3E4;5;20;8;SortingType:6
268;2618JYP;18/12/2018 08:06:59;F0897C;5;20;37;SortingType:6
269;2618JYP;18/12/2018 08:05:00;F08E0A;5;20;41;SortingType:6
270;2618JYP;18/12/2018 08:03:00;F099AF;5;20;7;NaN
271;2618JYP;18/12/2018 07:59:00;F0C6DD;5;20;42;SortingType:6
272;2618JYP;18/12/2018 07:52:00;F0978A;2;20;246;SortingType:6
273;2618JYP;18/12/2018 07:47:00;F07DE1;5;20;642;SortingType:6
274;2618JYP;18/12/2018 07:43:59;F09134;6;20;7;SortingType:6
275;2618JYP;18/12/2018 07:43:00;F0841B;6;20;7;SortingType:6
276;2618JYP;18/12/2018 07:43:00;F09D7D;6;20;7;SortingType:6
277;2618JYP;18/12/2018 07:41:59;F0896E;6;20;7;SortingType:6
278;2618JYP;18/12/2018 07:41:59;F0896E;6;20;7;SortingType:6
279;2618JYP;18/12/2018 07:41:00;EFE012;6;20;7;SortingType:6
280;2618JYP;18/12/2018 07:38:59;F08A9C;5;20;7;SortingType:6
281;2618JYP;18/12/2018 07:38:00;F0B38D;5;20;7;SortingType:6
282;2618JYP;18/12/2018 07:34:59;F08DD9;5;20;7;SortingType:6
283;2618JYP;18/12/2018 07:25:00;8BB8EA;2;20;7;SortingType:6
284;2618JYP;18/12/2018 07:23:59;8BA51B;2;20;7;SortingType:6
285;2618JYP;17/12/2018 12:26:00;B5417A;2;19;496;SortingType:6
286;1541CLM;17/12/2018 11:10:59;B57B2A;2;13;3;SortingType:6
287;1541CLM;17/12/2018 11:08:59;B591BE;2;13;61;SortingType:6
288;1541CLM;17/12/2018 11:03:59;B57EF3;2;13;6;SortingType:6
289;2618JYP;17/12/2018 07:57:59;B54333;2;19;378;SortingType:6
290;2618JYP;14/12/2018 10:57:00;ZAMIP;2;26;128;SortingType:6
291;1541CLM;14/12/2018 09:51:00;B57F39;2;17;34;SortingType:6
292;2618JYP;14/12/2018 09:45:00;B57738;1;25;20;SortingType:6
293;2618JYP;14/12/2018 09:00:00;F09EF9;5;25;44;SortingType:6
294;2618JYP;14/12/2018 08:57:00;F0C6DD;5;25;5;SortingType:6
295;2618JYP;14/12/2018 08:53:59;F07F73;2;25;6;SortingType:6
296;2618JYP;14/12/2018 08:53:59;F0BC67;2;25;36;SortingType:6
297;2618JYP;14/12/2018 08:51:00;F0A3D4;5;25;36;SortingType:6
298;2618JYP;14/12/2018 08:46:59;F0C2C0;5;25;21;SortingType:6
299;2618JYP;14/12/2018 08:42:00;F0BA93;2;25;5;SortingType:6
300;2618JYP;14/12/2018 08:37:59;F0896E;6;25;44;SortingType:6
